ticker,income_done,balance_done,cashflow_done
AAPL,True,True,True
TSLA,True,True,True
AMZN,True,True,True
MSFT,True,True,True
NVDA,True,True,True
GOOGL,True,True,True
META,True,True,True
NFLX,True,True,True
JPM,True,True,True
V,True,True,True
BAC,True,True,True
AMD,True,True,True
PYPL,True,True,True
DIS,True,True,True
T,True,True,True
PFE,True,True,True
COST,True,True,True
INTC,True,True,True
KO,True,True,True
TGT,True,True,True
NKE,True,True,True
SPY,no_data,no_data,no_data
BA,True,True,True
BABA,True,True,True
XOM,True,True,True
WMT,True,True,True
GE,True,True,True
CSCO,True,True,True
VZ,True,True,True
JNJ,True,True,True
CVX,True,True,True
PLTR,True,True,True
SQ,True,True,True
SHOP,True,True,True
SBUX,True,True,True
SOFI,True,True,True
HOOD,True,True,True
RBLX,True,True,True
SNAP,True,True,True
UBER,True,True,True
FDX,True,True,True
ABBV,True,True,True
ETSY,True,True,True
MRNA,True,True,True
LMT,True,True,True
GM,True,True,True
F,True,True,True
RIVN,True,True,True
LCID,True,True,True
CCL,True,True,True
DAL,True,True,True
UAL,True,True,True
AAL,True,True,True
TSM,True,True,True
SONY,True,True,True
ET,True,True,True
NOK,True,True,True
MRO,True,True,True
COIN,True,True,True
SIRI,True,True,True
RIOT,True,True,True
CPRX,True,True,True
VWO,no_data,no_data,no_data
SPYG,no_data,no_data,no_data
ROKU,True,True,True
VIAC,True,True,True
ATVI,True,True,True
BIDU,True,True,True
DOCU,True,True,True
ZM,True,True,True
PINS,True,True,True
TLRY,True,True,True
WBA,True,True,True
MGM,True,True,True
NIO,True,True,True
C,True,True,True
GS,True,True,True
WFC,True,True,True
ADBE,True,True,True
PEP,True,True,True
UNH,True,True,True
CARR,True,True,True
FUBO,True,True,True
HCA,True,True,True
TWTR,True,True,True
BILI,True,True,True
RKT,True,True,True
