ticker,income_done,balance_done,cashflow_done
MMM,False,False,False
AOS,False,False,False
ABT,False,False,False
ABBV,False,False,False
ACN,False,False,False
ADBE,False,False,False
AMD,False,False,False
AES,False,False,False
AFL,False,False,False
A,False,False,False
APD,False,False,False
ABNB,False,False,False
AKAM,False,False,False
ALB,False,False,False
ARE,False,False,False
ALGN,False,False,False
ALLE,False,False,False
LNT,False,False,False
ALL,False,False,False
GOOGL,False,False,False
GOOG,False,False,False
MO,False,False,False
AMZN,False,False,False
AMCR,False,False,False
AEE,False,False,False
AEP,False,False,False
AXP,False,False,False
AIG,False,False,False
AMT,False,False,False
AWK,False,False,False
AMP,False,False,False
AME,False,False,False
AMGN,False,False,False
APH,False,False,False
ADI,False,False,False
ANSS,False,False,False
AON,False,False,False
APA,False,False,False
APO,False,False,False
AAPL,False,False,False
AMAT,False,False,False
APTV,False,False,False
ACGL,False,False,False
ADM,False,False,False
ANET,False,False,False
AJG,False,False,False
AIZ,False,False,False
T,False,False,False
ATO,False,False,False
ADSK,False,False,False
ADP,False,False,False
AZO,False,False,False
AVB,False,False,False
AVY,False,False,False
AXON,False,False,False
BKR,False,False,False
BALL,False,False,False
BAC,False,False,False
BAX,False,False,False
BDX,False,False,False
BRK.B,False,False,False
BBY,False,False,False
TECH,False,False,False
BIIB,False,False,False
BLK,False,False,False
BX,False,False,False
BK,False,False,False
BA,False,False,False
BKNG,False,False,False
BSX,False,False,False
BMY,False,False,False
AVGO,False,False,False
BR,False,False,False
BRO,False,False,False
BF.B,False,False,False
BLDR,False,False,False
BG,False,False,False
BXP,False,False,False
CHRW,False,False,False
CDNS,False,False,False
CZR,False,False,False
CPT,False,False,False
CPB,False,False,False
COF,False,False,False
CAH,False,False,False
KMX,False,False,False
CCL,False,False,False
CARR,False,False,False
CAT,False,False,False
CBOE,False,False,False
CBRE,False,False,False
CDW,False,False,False
COR,False,False,False
CNC,False,False,False
CNP,False,False,False
CF,False,False,False
CRL,False,False,False
SCHW,False,False,False
CHTR,False,False,False
CVX,False,False,False
CMG,False,False,False
CB,False,False,False
CHD,False,False,False
CI,False,False,False
CINF,False,False,False
CTAS,False,False,False
CSCO,False,False,False
C,False,False,False
CFG,False,False,False
CLX,False,False,False
CME,False,False,False
CMS,False,False,False
KO,False,False,False
CTSH,False,False,False
COIN,False,False,False
CL,False,False,False
CMCSA,False,False,False
CAG,False,False,False
COP,False,False,False
ED,False,False,False
STZ,False,False,False
CEG,False,False,False
COO,False,False,False
CPRT,False,False,False
GLW,False,False,False
CPAY,False,False,False
CTVA,False,False,False
CSGP,False,False,False
COST,False,False,False
CTRA,False,False,False
CRWD,False,False,False
CCI,False,False,False
CSX,False,False,False
