date,symbol,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncome,netIncomeRatio,symbol_bal,period_bal,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,symbol_cf,period_cf,netIncome_cf,depreciationAndAmortization_cf,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory_cf,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,ticker
2024-09-28,AAPL,FY,391035000000,210352000000,180683000000,31370000000,0,0,26097000000,0,57467000000,267819000000,0,0,11445000000,134661000000,123216000000,269000000,123485000000,29749000000,93736000000,0.2397125577,AAPL,FY,29943000000,35228000000,65171000000,66243000000,7286000000,14287000000,152987000000,45680000000,0,0,0,91479000000,19499000000,55335000000,211993000000,0,364980000000,68960000000,22511000000,26601000000,8249000000,50071000000,176392000000,96548000000,0,0,35090000000,131638000000,0,12430000000,308030000000,0,83276000000,-19154000000,-7172000000,0,56950000000,56950000000,364980000000,0,364980000000,126707000000,119059000000,89116000000,AAPL,FY,93736000000,11445000000,0,11688000000,3651000000,-5144000000,-1046000000,6020000000,3821000000,-2266000000,118254000000,-9447000000,0,-48656000000,62346000000,-1308000000,2935000000,-5998000000,0,-94949000000,-15234000000,-5802000000,-121983000000,0,-794000000,29943000000,30737000000,118254000000,-9447000000,108807000000,AAPL
2023-09-30,AAPL,FY,383285000000,214137000000,169148000000,29915000000,0,0,24932000000,0,54847000000,268984000000,3750000000,3933000000,11519000000,125820000000,114301000000,-565000000,113736000000,16741000000,96995000000,0.2530623426,AAPL,FY,29965000000,31590000000,61555000000,60985000000,6331000000,14695000000,143566000000,54376000000,0,0,0,100544000000,17852000000,36245000000,209017000000,0,352583000000,62611000000,17382000000,8819000000,8061000000,48435000000,145308000000,106548000000,0,0,38581000000,145129000000,0,12842000000,290437000000,0,73812000000,-214000000,-11452000000,0,62146000000,62146000000,352583000000,0,352583000000,132134000000,111088000000,81123000000,AAPL,FY,96995000000,11519000000,0,10833000000,-6577000000,-417000000,-1618000000,-1889000000,-2653000000,-2227000000,110543000000,-10959000000,0,-29513000000,45514000000,-1337000000,3705000000,-9901000000,0,-77550000000,-15025000000,-6012000000,-108488000000,0,5760000000,30737000000,24977000000,110543000000,-10959000000,99584000000,AAPL
2022-09-24,AAPL,FY,394328000000,223546000000,170782000000,26251000000,0,0,25094000000,0,51345000000,274891000000,2825000000,2931000000,11104000000,130541000000,119437000000,-334000000,119103000000,19300000000,99803000000,0.2530964071,AAPL,FY,23646000000,24658000000,48304000000,60932000000,4946000000,21223000000,135405000000,52534000000,0,0,0,120805000000,15375000000,28636000000,217350000000,0,352755000000,64115000000,22773000000,6552000000,7912000000,52630000000,153982000000,109707000000,0,0,38394000000,148101000000,0,12411000000,302083000000,0,64849000000,-3068000000,-11109000000,0,50672000000,50672000000,352755000000,0,352755000000,145463000000,132480000000,108834000000,AAPL,FY,99803000000,11104000000,895000000,9038000000,1200000000,-9343000000,1484000000,9448000000,-389000000,111000000,122151000000,-10708000000,-306000000,-76923000000,67363000000,-2086000000,-22354000000,-4078000000,0,-89402000000,-14841000000,-2428000000,-110749000000,0,-10952000000,24977000000,35929000000,122151000000,-10708000000,111443000000,AAPL
2021-09-25,AAPL,FY,365817000000,212981000000,152836000000,21914000000,0,0,21973000000,0,43887000000,256868000000,2843000000,2645000000,11284000000,123136000000,108949000000,258000000,109207000000,14527000000,94680000000,0.2588179336,AAPL,FY,34940000000,27699000000,62639000000,51506000000,6580000000,14111000000,134836000000,49527000000,0,0,0,127877000000,0,38762000000,216166000000,0,351002000000,54763000000,17141000000,0,7612000000,45965000000,125481000000,119381000000,0,0,43050000000,162431000000,0,11803000000,287912000000,0,57365000000,5562000000,163000000,0,63090000000,63090000000,351002000000,0,351002000000,155576000000,136522000000,101582000000,AAPL,FY,94680000000,11284000000,-4774000000,7906000000,-4911000000,-14028000000,-2642000000,12326000000,-567000000,-147000000,104038000000,-11085000000,-33000000,-109558000000,106483000000,-385000000,-14545000000,11643000000,1105000000,-85971000000,-14467000000,-4558000000,-93353000000,0,-3860000000,35929000000,39789000000,104038000000,-11085000000,92953000000,AAPL
2020-09-26,AAPL,FY,274515000000,169559000000,104956000000,18752000000,0,0,19916000000,0,38668000000,208227000000,3763000000,2873000000,11056000000,81020000000,66288000000,803000000,67091000000,9680000000,57411000000,0.2091361128,AAPL,FY,38016000000,52927000000,90943000000,37445000000,4061000000,11264000000,143713000000,45336000000,0,0,0,100887000000,0,33952000000,180175000000,0,323888000000,42296000000,15229000000,0,6643000000,41224000000,105392000000,107049000000,0,0,46108000000,153157000000,0,9842000000,258549000000,0,50779000000,14966000000,-406000000,0,65339000000,65339000000,323888000000,0,323888000000,153814000000,122278000000,84262000000,AAPL,FY,57411000000,11056000000,-215000000,6829000000,5690000000,8470000000,-127000000,-4062000000,1409000000,-97000000,80674000000,-7309000000,-1524000000,-114938000000,120391000000,-909000000,-4289000000,2499000000,880000000,-72358000000,-14081000000,-2880000000,-86820000000,0,-10435000000,39789000000,50224000000,80674000000,-7309000000,73365000000,AAPL
2024-12-31,TSLA,FY,97690000000,80240000000,17450000000,4540000000,0,0,5150000000,684000000,10374000000,90614000000,1569000000,350000000,5368000000,14708000000,7076000000,1914000000,8990000000,1837000000,7130000000,0.072985976,TSLA,FY,16139000000,20424000000,36563000000,4418000000,12017000000,5362000000,58360000000,51507000000,244000000,1226000000,1470000000,0,6524000000,4215000000,63716000000,-6000000,122070000000,12474000000,3263000000,1367000000,4161000000,7556000000,28821000000,10360000000,3317000000,0,5892000000,19569000000,0,5745000000,48390000000,0,3000000,35209000000,-670000000,38371000000,72913000000,73680000000,122070000000,767000000,122070000000,20424000000,13623000000,-2516000000,TSLA,FY,7153000000,5368000000,477000000,1999000000,81000000,-1083000000,937000000,3588000000,-3361000000,-155000000,14923000000,-11342000000,0,-35955000000,28510000000,0,-18787000000,2863000000,0,0,0,990000000,3853000000,-141000000,-152000000,17037000000,17189000000,14923000000,-11342000000,3581000000,TSLA
2023-12-31,TSLA,FY,96773000000,79113000000,17660000000,3969000000,0,0,4800000000,0,8769000000,87882000000,1066000000,156000000,4667000000,14796000000,8891000000,1082000000,9973000000,-5001000000,14999000000,0.1549915782,TSLA,FY,16398000000,12696000000,29094000000,3508000000,13626000000,3388000000,49616000000,45123000000,253000000,362000000,615000000,0,6733000000,4531000000,57002000000,0,106618000000,14431000000,3045000000,1204000000,3740000000,6328000000,28748000000,6528000000,3251000000,0,4482000000,14261000000,0,4916000000,43009000000,0,3000000,27882000000,-143000000,34892000000,62634000000,63609000000,106618000000,975000000,106618000000,12696000000,9573000000,-6825000000,TSLA,FY,14974000000,4667000000,-6349000000,1812000000,-2248000000,-586000000,-1195000000,2605000000,-3072000000,400000000,13256000000,-8899000000,-64000000,-19112000000,12491000000,0,-15584000000,2116000000,0,0,0,473000000,2589000000,4000000,265000000,17189000000,16924000000,13256000000,-8899000000,4357000000,TSLA
2022-12-31,TSLA,FY,81462000000,60609000000,20853000000,3075000000,0,0,3946000000,176000000,7197000000,67806000000,297000000,191000000,3747000000,17657000000,13656000000,63000000,13719000000,1132000000,12583000000,0.1544646584,TSLA,FY,16253000000,5932000000,22185000000,2952000000,12839000000,2941000000,40917000000,36635000000,194000000,399000000,593000000,0,328000000,3865000000,41421000000,0,82338000000,15255000000,1987000000,1235000000,2810000000,5422000000,26709000000,3761000000,2804000000,82000000,3084000000,9731000000,0,3703000000,36440000000,0,3000000,12885000000,-361000000,32177000000,44704000000,45898000000,82338000000,1194000000,82338000000,5932000000,5748000000,-10505000000,TSLA,FY,12556000000,3543000000,0,1560000000,-3712000000,-1124000000,-6465000000,6029000000,-2152000000,777000000,14724000000,-7163000000,0,-5835000000,22000000,1003000000,-11973000000,-3866000000,0,0,0,-202000000,-3527000000,-444000000,-1220000000,16924000000,18144000000,14724000000,-7172000000,7552000000,TSLA
2021-12-31,TSLA,FY,53823000000,40217000000,13606000000,2593000000,0,0,4517000000,-27000000,7110000000,47327000000,56000000,371000000,2911000000,9625000000,6523000000,-180000000,6343000000,699000000,5524000000,0.1026327035,TSLA,FY,17576000000,131000000,17707000000,1913000000,5757000000,1723000000,27100000000,31176000000,200000000,1517000000,1717000000,0,0,2134000000,35027000000,4000000,62131000000,10025000000,1957000000,1122000000,2372000000,4229000000,19705000000,6916000000,2052000000,24000000,1875000000,10843000000,0,3531000000,30548000000,0,1000000,329000000,54000000,29805000000,30189000000,31583000000,62131000000,1394000000,62131000000,131000000,8873000000,-8703000000,TSLA,FY,5519000000,2911000000,-149000000,2121000000,667000000,-130000000,-1709000000,4578000000,-2072000000,428000000,11497000000,-6514000000,0,-132000000,0,-1222000000,-7868000000,-5732000000,0,0,0,-178000000,-5203000000,-183000000,-1757000000,18144000000,19901000000,11497000000,-8014000000,3483000000,TSLA
2020-12-31,TSLA,FY,31536000000,24906000000,6630000000,1491000000,0,0,3145000000,0,4636000000,29542000000,30000000,748000000,2322000000,4224000000,1994000000,-840000000,1154000000,292000000,721000000,0.02286276,TSLA,FY,19384000000,0,19384000000,1886000000,4101000000,1346000000,26717000000,23378000000,207000000,313000000,520000000,0,0,1536000000,25434000000,-3000000,52148000000,6051000000,2418000000,777000000,2210000000,2792000000,14248000000,10861000000,1284000000,151000000,1925000000,14221000000,0,3008000000,28469000000,0,1000000,-5399000000,363000000,27260000000,22225000000,23679000000,52148000000,1454000000,52148000000,613000000,13279000000,-6105000000,TSLA,FY,690000000,2322000000,0,1734000000,184000000,-652000000,-422000000,930000000,328000000,1013000000,5943000000,-3232000000,-13000000,0,0,113000000,-3132000000,-2488000000,12269000000,0,0,192000000,9973000000,334000000,13118000000,19901000000,6783000000,5943000000,-3242000000,2701000000,TSLA
