ticker,income_done,balance_done,cashflow_done
AAPL,True,False,False
TSLA,False,False,False
AMZN,False,False,False
MSFT,False,False,False
NVDA,False,False,False
GOOGL,False,False,False
META,False,False,False
NFLX,False,False,False
JPM,False,False,False
V,False,False,False
BAC,False,False,False
AMD,False,False,False
PYPL,False,False,False
DIS,False,False,False
T,False,False,False
PFE,False,False,False
COST,False,False,False
INTC,False,False,False
KO,False,False,False
TGT,False,False,False
NKE,False,False,False
SPY,False,False,False
BA,False,False,False
BABA,False,False,False
XOM,False,False,False
WMT,False,False,False
GE,False,False,False
CSCO,False,False,False
VZ,False,False,False
JNJ,False,False,False
CVX,False,False,False
PLTR,False,False,False
SQ,False,False,False
SHOP,False,False,False
SBUX,False,False,False
SOFI,False,False,False
HOOD,False,False,False
RBLX,False,False,False
SNAP,False,False,False
UBER,False,False,False
FDX,False,False,False
ABBV,False,False,False
ETSY,False,False,False
MRNA,False,False,False
LMT,False,False,False
GM,False,False,False
F,False,False,False
RIVN,False,False,False
LCID,False,False,False
CCL,False,False,False
DAL,False,False,False
UAL,False,False,False
AAL,False,False,False
TSM,False,False,False
SONY,False,False,False
ET,False,False,False
NOK,False,False,False
MRO,False,False,False
COIN,False,False,False
SIRI,False,False,False
RIOT,False,False,False
CPRX,False,False,False
VWO,False,False,False
SPYG,False,False,False
ROKU,False,False,False
VIAC,False,False,False
ATVI,False,False,False
BIDU,False,False,False
DOCU,False,False,False
ZM,False,False,False
PINS,False,False,False
TLRY,False,False,False
WBA,False,False,False
MGM,False,False,False
NIO,False,False,False
C,False,False,False
GS,False,False,False
WFC,False,False,False
ADBE,False,False,False
PEP,False,False,False
UNH,False,False,False
CARR,False,False,False
FUBO,False,False,False
HCA,False,False,False
TWTR,False,False,False
BILI,False,False,False
RKT,False,False,False
